"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011/2012","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3204","","","","0"
"2012/2013","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3216","","","","0"
"2013/2014","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3216","","","","0"
"2014/2015","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3312","","","","0"
"2015/2016","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3234","","","","0"
"2016/2017","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3264","","","","0"
"2002/2003","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","10683","","","","0"
"2003/2004","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11094","","","","0"
"2004/2005","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11556","","","","0"
"2005/2006","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11619","","","","0"
"2006/2007","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11457","","","","0"
"2007/2008","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11073","","","","0"
"2008/2009","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11397","","","","0"
"2009/2010","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","12228","","","","0"
"2010/2011","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11934","","","","0"
"2011/2012","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11754","","","","0"
"2012/2013","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11544","","","","0"
