artist,track,id
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM
Miley Cyrus,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1
Gotye,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV
Zedd,Stay,6uBhi9gBXWjanegOb2Phh0
Rihanna,Work,72TFWvU3wUYdUuxejTTIzt
Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK
Demi Lovato,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv
Maluma,Hawái,4uoR6qeWeuL4Qeu2qJzkuG
Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5
Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT
Passenger,Let Her Go,1KxwZYyzWNyZSRyErj2ojT
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb
benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW
Hailee Steinfeld,Starving,4Ce37cRWvM1vIGGynKcs22
Imagine Dragons,Demons,3LlAyCYU26dvFZBDUIMb7a
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn
Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni
Julia Michaels,Issues,7vu0JkJh0ldukEYbTVcqd0
Clean Bandit,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8
Tove Lo,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB
Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4
Maroon 5,She Will Be Loved,7sapKrjDij2fpDVj0GxP66
Milky Chance,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE
Major Lazer,Lean On,1Lim1Py7xBgbAkAys3AGAG
Queen,Don't Stop Me Now - Remastered 2011,7hQJA50XrCWABAu5v6QZ4i
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI
Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P
Adele,Hello,62PaSfnXSMyLshYJrlTuL3
Imagine Dragons,Radioactive,4G8gkOterJn0Ywt6uhqbhp
Bastille,Pompeii,3gbBpTdY8lnQwqxNCcf795
Tom Odell,Another Love,7otCGmgp9h4CsR2LhwB6gt
Alan Walker,Faded,7gHs73wELdeycvS48JfIos
Clean Bandit,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6
Queen,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J
Oasis,Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr
Luis Fonsi,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2
Tyga,Taste (feat. Offset),2toVe5hfuIi97ytDPDbQFt
Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39
Maroon 5,Payphone,1LmN9SSHISbtp9LoaR5ZVJ
The Chainsmokers,Paris,15vzANxN8G9wWfwAJLLMCg
Sia,Cheap Thrills,3S4px9f4lceWdKf0gWciFu
Desiigner,Panda,5YEOzOojehCqxGQCcQiyR4
J Balvin,Mi Gente,4ipnJyDU3Lq15qBAYNqlqK
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0
David Guetta,Titanium (feat. Sia),0lHAMNU8RGiIObScrsRgmP
Sia,Chandelier,2s1sdSqGcKxpPr5lCl7jAV
The Script,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz
Major Lazer,Cold Water,7zsXy7vlHdItvUSH8EwQss
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,023OVLNzXhX0j7CxswUt6D
Kygo,It Ain’t Me (with Selena Gomez),12GEpg2XOPyqk03JZEZnJs
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe
Beyoncé,Halo,3ERa3mEeOnrh2Mc47qM6T1
Michael Jackson,Billie Jean,7J1uxwnxfQLu4APicE5Rnj
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2
SAINt JHN,Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5
Queen,Under Pressure,1mSClObliRtgPVT399COQH
Major Lazer,Light It Up - Remix,500mvzh7TRZ0YdnVeHhj8b
Lauv,I Like Me Better,0EcQcdcbQeVJn9fknj44Be
Kanye West,Stronger,1gudTcOiMosmCC6EKEzomI
Khalid,Location,1WIfWj5skn5UUZTs4cEFBe
Queen,Bohemian Rhapsody - 2011 Remaster,6AWe04n4zsYkGKb3Pf7LMk
